wavelength, species, expot, loggf, type, filename
6707.80,   3.0,  +0.00,  +0.17, syn, /home/shivani/rprocess/lineLists/myAll/Li6707.moog
4982.81,  11.0,  +2.10,  -0.92, syn, /home/shivani/rprocess/lineLists/myAll/Na4982.moog
5682.63,  11.0,  +2.10,  -0.71, syn, /home/shivani/rprocess/lineLists/myAll/Na5682.moog
5688.20,  11.0,  +2.10,  -0.41, syn, /home/shivani/rprocess/lineLists/myAll/Na5688.moog
6154.23,  11.0,  +2.10,  -1.55, syn, /home/shivani/rprocess/lineLists/myAll/Na6154.moog
6160.75,  11.0,  +2.10,  -1.25, syn, /home/shivani/rprocess/lineLists/myAll/Na6160.moog
8183.26,  11.0,  +2.10,  +0.24, syn, /home/shivani/rprocess/lineLists/myAll/Na8183.moog
8194.81,  11.0,  +2.10,  +0.54, syn, /home/shivani/rprocess/lineLists/myAll/Na8194.moog
3986.75,  12.0,  +4.35,  -1.06, syn, /home/shivani/rprocess/lineLists/myAll/Mg3986.moog
4167.27,  12.0,  +4.35,  -0.74, syn, /home/shivani/rprocess/lineLists/myAll/Mg4167.moog
4571.10,  12.0,  +0.00,  -5.62, syn, /home/shivani/rprocess/lineLists/myAll/Mg4571.moog
4702.99,  12.0,  +4.35,  -0.44, syn, /home/shivani/rprocess/lineLists/myAll/Mg4702.moog
4730.03,  12.0,  +4.35,  -2.35, syn, /home/shivani/rprocess/lineLists/myAll/Mg4730.moog
5528.40,  12.0,  +4.35,  -0.55, syn, /home/shivani/rprocess/lineLists/myAll/Mg5528.moog
5711.09,  12.0,  +4.35,  -1.84, syn, /home/shivani/rprocess/lineLists/myAll/Mg5711.moog
6696.02,  13.0,  +3.14,  -1.57, syn, /home/shivani/rprocess/lineLists/myAll/Al6696.moog
6698.67,  13.0,  +3.14,  -1.87, syn, /home/shivani/rprocess/lineLists/myAll/Al6698.moog
7836.13,  13.0,  +4.02,  -0.53, syn, /home/shivani/rprocess/lineLists/myAll/Al7836.moog
4102.94,  14.0,  +1.91,  -3.34, syn, /home/shivani/rprocess/lineLists/myAll/Si4102.moog
4805.44,  14.0,  +4.92,  -2.21, syn, /home/shivani/rprocess/lineLists/myAll/Si4805.moog
4947.61,  14.0,  +5.08,  -1.81, syn, /home/shivani/rprocess/lineLists/myAll/Si4947.moog
5645.61,  14.0,  +4.93,  -1.63, syn, /home/shivani/rprocess/lineLists/myAll/Si5645.moog
5665.56,  14.0,  +4.92,  -2.04, syn, /home/shivani/rprocess/lineLists/myAll/Si5665.moog
5690.43,  14.0,  +4.93,  -1.87, syn, /home/shivani/rprocess/lineLists/myAll/Si5690.moog
5708.40,  14.0,  +4.95,  -1.47, syn, /home/shivani/rprocess/lineLists/myAll/Si5708.moog
5772.15,  14.0,  +5.08,  -1.75, syn, /home/shivani/rprocess/lineLists/myAll/Si5772.moog
5793.07,  14.0,  +4.93,  -2.02, syn, /home/shivani/rprocess/lineLists/myAll/Si5793.moog
5948.54,  14.0,  +5.08,  -1.23, syn, /home/shivani/rprocess/lineLists/myAll/Si5948.moog
6555.46,  14.0,  +5.98,  -1.40, syn, /home/shivani/rprocess/lineLists/myAll/Si6555.moog
6721.85,  14.0,  +5.86,  -0.94, syn, /home/shivani/rprocess/lineLists/myAll/Si6721.moog
6976.51,  14.0,  +5.95,  -0.92, syn, /home/shivani/rprocess/lineLists/myAll/Si6976.moog
7003.57,  14.0,  +5.96,  -0.75, syn, /home/shivani/rprocess/lineLists/myAll/Si7003.moog
7680.27,  14.0,  +5.86,  -0.69, syn, /home/shivani/rprocess/lineLists/myAll/Si7680.moog
7742.72,  14.0,  +6.21,  -0.28, syn, /home/shivani/rprocess/lineLists/myAll/Si7742.moog
7944.00,  14.0,  +5.98,  -0.31, syn, /home/shivani/rprocess/lineLists/myAll/Si7944.moog
8093.23,  14.0,  +5.86,  -1.35, syn, /home/shivani/rprocess/lineLists/myAll/Si8093.moog
7698.96,  19.0,  +0.00,  -0.18, syn, /home/shivani/rprocess/lineLists/myAll/K7698.moog
3487.60,  20.0,  +1.90,  -1.37, syn, /home/shivani/rprocess/lineLists/myAll/Ca3487.moog
3644.41,  20.0,  +1.90,  -0.30, syn, /home/shivani/rprocess/lineLists/myAll/Ca3644.moog
3870.48,  20.0,  +2.52,  -1.09, syn, /home/shivani/rprocess/lineLists/myAll/Ca3870.moog
4092.63,  20.0,  +2.52,  -0.86, syn, /home/shivani/rprocess/lineLists/myAll/Ca4092.moog
4283.01,  20.0,  +1.89,  -0.22, syn, /home/shivani/rprocess/lineLists/myAll/Ca4283.moog
4318.65,  20.0,  +1.90,  -0.21, syn, /home/shivani/rprocess/lineLists/myAll/Ca4318.moog
4355.08,  20.0,  +2.71,  -0.42, syn, /home/shivani/rprocess/lineLists/myAll/Ca4355.moog
4425.44,  20.0,  +1.88,  -0.36, syn, /home/shivani/rprocess/lineLists/myAll/Ca4425.moog
4455.89,  20.0,  +1.90,  -0.53, syn, /home/shivani/rprocess/lineLists/myAll/Ca4455.moog
4456.61,  20.0,  +1.90,  -1.66, syn, /home/shivani/rprocess/lineLists/myAll/Ca4456.moog
4526.94,  20.0,  +2.71,  -0.42, syn, /home/shivani/rprocess/lineLists/myAll/Ca4526.moog
4578.55,  20.0,  +2.52,  -0.56, syn, /home/shivani/rprocess/lineLists/myAll/Ca4578.moog
4685.27,  20.0,  +2.93,  -0.88, syn, /home/shivani/rprocess/lineLists/myAll/Ca4685.moog
5260.39,  20.0,  +2.52,  -1.90, syn, /home/shivani/rprocess/lineLists/myAll/Ca5260.moog
5261.71,  20.0,  +2.52,  -0.73, syn, /home/shivani/rprocess/lineLists/myAll/Ca5261.moog
5512.98,  20.0,  +2.93,  -0.30, syn, /home/shivani/rprocess/lineLists/myAll/Ca5512.moog
