wavelength, species, expot, loggf, type, filename
5526.77,  21.1,  +1.77,  +0.02, syn, /home/shivani/rprocess/lineLists/my/Sc5526.moog
5031.01,  21.1,  +1.36,  -0.40, syn, /home/shivani/rprocess/lineLists/my/Sc5031.moog
4670.40,  21.1,  +1.36,  -0.58, syn,  /home/shivani/rprocess/lineLists/my/Sc4670.moog
4415.54,  21.1,  +0.59,  -0.67, syn,  /home/shivani/rprocess/lineLists/my/Sc4415.moog
4400.38,  21.1,  +0.60,  -0.54, syn,  /home/shivani/rprocess/lineLists/my/Sc4400.moog
4823.52,  25.0,  +2.32,  +0.14, syn,  /home/shivani/rprocess/lineLists/my/Mn4823.moog
4783.43,  25.0,  +2.30,  +0.04, syn,  /home/shivani/rprocess/lineLists/my/Mn4783.moog
4766.42,  25.0,  +2.92,  +0.10, syn,  /home/shivani/rprocess/lineLists/my/Mn4766.moog
4762.37,  25.0,  +2.89,  +0.30, syn,  /home/shivani/rprocess/lineLists/my/Mn4762.moog
4754.04,  25.0,  +2.28,  -0.08, syn,  /home/shivani/rprocess/lineLists/my/Mn4754.moog
4313.00, 106.0,   +nan,   +nan, syn,  /home/shivani/rprocess/lineLists/my/CH4313.moog
4323.00, 106.0,   +nan,   +nan, syn,  /home/shivani/rprocess/lineLists/my/CH4323.moog
4246.81,  21.1,  +0.32,  +0.24, syn,  /home/shivani/rprocess/lineLists/my/Sc4246.moog
4314.08,  21.1,  +0.62,  -0.10, syn,  /home/shivani/rprocess/lineLists/my/Sc4314.moog
4324.98,  21.1,  +0.59,  -0.44, syn,  /home/shivani/rprocess/lineLists/my/Sc4324.moog
4041.35,  25.0,  +2.11,  +0.28, syn,  /home/shivani/rprocess/lineLists/my/Mn4041.moog
4033.06,  25.0,  +0.00,  -0.65, syn,  /home/shivani/rprocess/lineLists/my/Mn4033.moog
3961.52,  13.0,  +0.01,  -0.33, syn,  /home/shivani/rprocess/lineLists/my/Al3961.moog
3944.01,  13.0,  +0.00,  -0.64, syn,  /home/shivani/rprocess/lineLists/my/Al3944.moog
3905.52,  14.0,  +1.91,  -1.04, syn,  /home/shivani/rprocess/lineLists/my/Si3905.moog
4384.71,  23.0,  +0.29,  +0.41, syn,  /home/shivani/rprocess/lineLists/my/V4384.moog
4379.23,  23.0,  +0.30,  +0.58, syn,  /home/shivani/rprocess/lineLists/my/V4379.moog
4005.70,  23.1,  +1.82,  -0.45, syn,  /home/shivani/rprocess/lineLists/my/V4005.moog
3951.96,  23.1,  +1.48,  -0.73, syn,  /home/shivani/rprocess/lineLists/my/V3951.moog
3840.75,  23.0,  +0.04,  -0.16, syn,  /home/shivani/rprocess/lineLists/my/V3840.moog
4020.90,  27.0,  +0.43,  -2.09, syn,  /home/shivani/rprocess/lineLists/my/Co4020.moog
4110.53,  27.0,  +1.05,  -1.23, syn,  /home/shivani/rprocess/lineLists/my/Co4110.moog
4118.77,  27.0,  +1.05,  -0.48, syn,  /home/shivani/rprocess/lineLists/my/Co4118.moog
4121.32,  27.0,  +0.92,  -0.33, syn,  /home/shivani/rprocess/lineLists/my/Co4121.moog
4077.71,  38.1,  +0.00,  +0.15, syn,  /home/shivani/rprocess/lineLists/my/Sr4077.moog
4215.52,  38.1,  +0.00,  -0.17, syn,  /home/shivani/rprocess/lineLists/my/Sr4215.moog
4900.11,  39.1,  +1.03,  -0.09, syn,  /home/shivani/rprocess/lineLists/my/Y4900.moog
4883.68,  39.1,  +1.08,  +0.07, syn,  /home/shivani/rprocess/moogeLists/my/Y4883.moog
4398.01,  39.1,  +0.13,  -1.00, syn,  /home/shivani/rprocess/lineLists/my/Y4398.moog
4208.98,  40.1,  +0.71,  -0.51, syn,  /home/shivani/rprocess/lineLists/my/Zr4208.moog
4554.03,  56.1,  +0.00,  +0.17, syn,  /home/shivani/rprocess/lineLists/my/Ba4554.moog
4934.08,  56.1,  +0.00,  -0.16, syn,  /home/shivani/rprocess/lineLists/my/Ba4934.moog
5853.67,  56.1,  +0.60,  -1.01, syn,  /home/shivani/rprocess/lineLists/my/Ba5853.moog
6141.71,  56.1,  +0.70,  -0.08, syn,  /home/shivani/rprocess/lineLists/my/Ba6141.moog
6496.90,  56.1,  +0.60,  -0.38, syn,  /home/shivani/rprocess/lineLists/my/Ba6496.moog
4086.71,  57.1,  +0.00,  -0.07, syn,  /home/shivani/rprocess/lineLists/my/La4086.moog
4123.22,  57.1,  +0.32,  +0.13, syn,  /home/shivani/rprocess/lineLists/my/La4123.moog
4333.75,  57.1,  +0.17,  -0.06, syn,  /home/shivani/rprocess/lineLists/my/La4333.moog
4921.78,  57.1,  +0.24,  -0.45, syn,  /home/shivani/rprocess/lineLists/my/La4921.moog
4077.97,  66.1,  +0.10,  -0.04, syn,  /home/shivani/rprocess/lineLists/my/Dy4077.moog
4103.31,  66.1,  +0.10,  -0.38, syn,  /home/shivani/rprocess/lineLists/my/Dy4103.moog
4129.72,  63.1,  +0.00,  +0.22, syn,  /home/shivani/rprocess/lineLists/my/Eu4129.moog
4205.04,  63.1,  +0.00,  +0.21, syn,  /home/shivani/rprocess/lineLists/my/Eu4205.moog  
3876.00, 607.0,   +nan,   +nan, syn,  /home/shivani/rprocess/lineLists/my/CN3876.moog
